1: (2170, 1070)  # 1F
2: (1330, 1070)  # 1F
3: (1990, 1030)  # 1F
4: (1910, 1030)  # 1F
5: (1750, 1030)  # 1F
6: (1670, 1030)  # 1F
7: (1590, 1030)  # 1F
8: (1450, 1030)  # 1F
9: (1150, 1010)  # 1F
10: (1070, 1010)  # 1F
11: (990, 1010)  # 1F
12: (830, 1010)  # 1F
13: (750, 1010)  # 1F
14: (670, 1010)  # 1F
15: (510, 1010)  # 1F
16: (430, 1010)  # 1F
17: (270, 1010)  # 1F
18: (69, 1010)  # 1F
19: (2170, 990)  # 1F
20: (2170, 910)  # 1F
21: (1770, 830)  # 1F
22: (1690, 830)  # 1F
23: (1610, 830)  # 1F
24: (1470, 830)  # 1F
25: (1390, 830)  # 1F
26: (1310, 830)  # 1F
27: (1230, 830)  # 1F
28: (1150, 830)  # 1F
29: (1070, 830)  # 1F
30: (990, 830)  # 1F
31: (850, 830)  # 1F
32: (770, 830)  # 1F
33: (690, 830)  # 1F
34: (550, 830)  # 1F
35: (470, 830)  # 1F
36: (390, 830)  # 1F
37: (149, 830)  # 1F
38: (49, 830)  # 1F
39: (290, 790)  # 1F
40: (1990, 789)  # 1F
41: (2170, 770)  # 1F
42: (189, 750)  # 1F
43: (1990, 729)  # 1F
44: (290, 710)  # 1F
45: (189, 670)  # 1F
46: (2010, 669)  # 1F
47: (2210, 630)  # 1F
48: (2029, 609)  # 1F
49: (189, 590)  # 1F
50: (2210, 550)  # 1F
51: (270, 550)  # 1F
52: (2110, 509)  # 1F
53: (2210, 470)  # 1F
54: (270, 470)  # 1F
55: (169, 470)  # 1F
56: (2130, 449)  # 1F
57: (2230, 390)  # 1F
58: (2150, 390)  # 1F
59: (270, 390)  # 1F
60: (169, 390)  # 1F
61: (2090, 350)  # 1F
62: (2030, 350)  # 1F
63: (1970, 350)  # 1F
64: (1850, 350)  # 1F
65: (1770, 350)  # 1F
66: (1690, 350)  # 1F
67: (1610, 350)  # 1F
68: (1470, 350)  # 1F
69: (1390, 350)  # 1F
70: (1310, 350)  # 1F
71: (1230, 350)  # 1F
72: (1150, 350)  # 1F
73: (1070, 350)  # 1F
74: (990, 350)  # 1F
75: (850, 350)  # 1F
76: (770, 350)  # 1F
77: (690, 350)  # 1F
78: (610, 350)  # 1F
79: (530, 350)  # 1F
80: (450, 350)  # 1F
81: (370, 350)  # 1F
82: (49, 350)  # 1F
83: (2230, 192)  # 1F
84: (2050, 171)  # 1F
85: (1890, 171)  # 1F
86: (1768, 171)  # 1F
87: (1610, 171)  # 1F
88: (1510, 171)  # 1F
89: (1370, 171)  # 1F
90: (1230, 171)  # 1F
91: (1110, 171)  # 1F
92: (990, 171)  # 1F
93: (870, 171)  # 1F
94: (750, 171)  # 1F
95: (570, 171)  # 1F
96: (470, 171)  # 1F
97: (330, 171)  # 1F
98: (250, 171)  # 1F
99: (170, 171)  # 1F
100: (49, 171)  # 1F
101: (1930, 1010)  # 2F
102: (1650, 1010)  # 2F
103: (1450, 1010)  # 2F
104: (1370, 1010)  # 2F
105: (1250, 1010)  # 2F
106: (908, 1010)  # 2F
107: (808, 1010)  # 2F
108: (650, 1010)  # 2F
109: (570, 1010)  # 2F
110: (450, 1010)  # 2F
111: (330, 1010)  # 2F
112: (170, 890)  # 2F
113: (1690, 830)  # 2F
114: (1610, 830)  # 2F
115: (1490, 830)  # 2F
116: (1248, 830)  # 2F
117: (1168, 830)  # 2F
118: (1088, 830)  # 2F
119: (1008, 830)  # 2F
120: (888, 830)  # 2F
121: (768, 830)  # 2F
122: (650, 830)  # 2F
123: (550, 830)  # 2F
124: (2170, 809)  # 2F
125: (1970, 790)  # 2F
126: (170, 770)  # 2F
127: (330, 729)  # 2F
128: (1990, 710)  # 2F
129: (290, 650)  # 2F
130: (2010, 630)  # 2F
131: (150, 610)  # 2F
132: (2210, 529)  # 2F
133: (129, 450)  # 2F
134: (2230, 369)  # 2F
135: (1990, 350)  # 2F
136: (1910, 350)  # 2F
137: (1830, 350)  # 2F
138: (1690, 350)  # 2F
139: (1610, 350)  # 2F
140: (1530, 350)  # 2F
141: (1450, 350)  # 2F
142: (1248, 350)  # 2F
143: (1168, 350)  # 2F
144: (1088, 350)  # 2F
145: (1008, 350)  # 2F
146: (928, 350)  # 2F
147: (848, 350)  # 2F
148: (768, 350)  # 2F
149: (630, 350)  # 2F
150: (530, 350)  # 2F
151: (430, 350)  # 2F
152: (310, 350)  # 2F
153: (2230, 289)  # 2F
154: (1850, 171)  # 2F
155: (1730, 171)  # 2F
156: (1650, 171)  # 2F
157: (1570, 171)  # 2F
158: (1450, 171)  # 2F
159: (1370, 171)  # 2F
160: (1290, 171)  # 2F
161: (1170, 171)  # 2F
162: (1090, 171)  # 2F
163: (1010, 171)  # 2F
164: (930, 171)  # 2F
165: (850, 171)  # 2F
166: (770, 171)  # 2F
167: (650, 171)  # 2F
168: (570, 171)  # 2F
169: (490, 171)  # 2F
170: (410, 171)  # 2F
171: (290, 171)  # 2F
172: (170, 171)  # 2F
173: (50, 171)  # 2F
174: (2270, 169)  # 2F
175: (1930, 150)  # 2F
176: (2010, 129)  # 2F
177: (2270, 69)  # 2F
178: (2150, 49)  # 2F
179: (2069, 350)  # 3F
180: (1969, 350)  # 3F
181: (1869, 350)  # 3F
182: (1729, 350)  # 3F
183: (1629, 350)  # 3F
184: (1529, 350)  # 3F
185: (1409, 350)  # 3F
186: (1329, 350)  # 3F
187: (1249, 350)  # 3F
188: (1149, 350)  # 3F
189: (1049, 350)  # 3F
190: (969, 350)  # 3F
191: (849, 350)  # 3F
192: (769, 350)  # 3F
193: (689, 350)  # 3F
194: (569, 350)  # 3F
195: (489, 350)  # 3F
196: (409, 350)  # 3F
197: (329, 350)  # 3F
198: (209, 350)  # 3F
199: (129, 350)  # 3F
200: (49, 350)  # 3F
201: (2248, 291)  # 3F
202: (2248, 211)  # 3F
203: (2129, 171)  # 3F
204: (2049, 171)  # 3F
205: (1969, 171)  # 3F
206: (1889, 171)  # 3F
207: (1809, 171)  # 3F
208: (1689, 171)  # 3F
209: (1609, 171)  # 3F
210: (1529, 171)  # 3F
211: (1449, 171)  # 3F
212: (1369, 171)  # 3F
213: (1289, 171)  # 3F
214: (1209, 171)  # 3F
215: (1129, 171)  # 3F
216: (1049, 171)  # 3F
217: (969, 171)  # 3F
218: (889, 171)  # 3F
219: (770, 171)  # 3F
220: (690, 171)  # 3F
221: (610, 171)  # 3F
222: (530, 171)  # 3F
223: (450, 171)  # 3F
224: (350, 171)  # 3F
225: (250, 171)  # 3F
226: (170, 171)  # 3F
227: (49, 171)  # 3F
